state#=1800      
E=9.598173400090213e-10
-5.377849e-04+5.685575e-08j      -5.377849e-04-5.685978e-08j      
5.588906e-04-7.901914e-08j       5.588906e-04+7.902332e-08j       
-2.172017e-04-3.953667e-08j      -2.172017e-04+3.953504e-08j      
-3.463095e-05+1.438297e-07j      -3.463095e-05-1.438299e-07j      
1.037352e-04-1.036233e-08j       1.037352e-04+1.036310e-08j       
-8.097703e-05-1.869776e-07j      -8.097703e-05+1.869770e-07j      
4.820637e-05+5.471953e-08j       4.820637e-05-5.471917e-08j       
-3.004782e-05+1.914387e-07j      -3.004782e-05-1.914389e-07j      
2.187967e-05-3.242204e-08j       2.187967e-05+3.242220e-08j       
-1.673922e-05-1.241175e-07j      -1.673922e-05+1.241174e-07j      
1.235187e-05-4.790209e-08j       1.235187e-05+4.790219e-08j       
-8.807611e-06-1.310600e-07j      -8.807611e-06+1.310599e-07j      
6.259046e-06-3.263002e-07j       6.259046e-06+3.263002e-07j       
-4.501437e-06-6.038467e-07j      -4.501437e-06+6.038467e-07j      
3.260147e-06-1.180857e-06j       3.260147e-06+1.180857e-06j       
-2.358588e-06-2.358589e-06j      -2.358588e-06+2.358589e-06j      
1.704131e-06-4.642283e-06j       1.704131e-06+4.642283e-06j       
-1.240313e-06-9.178937e-06j      -1.240314e-06+9.178937e-06j      
