state#=1799      
E=-9.598171097981516e-10
1.198631e-04+4.404732e-08j       1.198631e-04-4.404822e-08j       
-8.402300e-05-1.087330e-07j      -8.402300e-05+1.087336e-07j      
6.285953e-05-3.951393e-08j       6.285953e-05+3.951345e-08j       
-4.651638e-05+6.903166e-08j      -4.651638e-05-6.903132e-08j      
3.348308e-05+3.616770e-08j       3.348308e-05-3.616795e-08j       
-2.388196e-05+2.914565e-08j      -2.388196e-05-2.914547e-08j      
1.714067e-05+1.206141e-07j       1.714067e-05-1.206142e-07j       
-1.238170e-05+2.247527e-07j      -1.238170e-05-2.247526e-07j      
8.947604e-06+4.318301e-07j       8.947604e-06-4.318302e-07j       
-6.450157e-06+8.536278e-07j      -6.450157e-06-8.536277e-07j      
4.642283e-06+1.704131e-06j       4.642283e-06-1.704131e-06j       
-3.337232e-06+3.337230e-06j      -3.337232e-06-3.337230e-06j      
2.386176e-06+6.625572e-06j       2.386176e-06-6.625572e-06j       
-1.666869e-06+1.302183e-05j      -1.666869e-06-1.302183e-05j      
1.053191e-06+2.603223e-05j       1.053191e-06-2.603223e-05j       
-3.824394e-07+4.875617e-05j      -3.824398e-07-4.875617e-05j      
-1.137963e-06+1.213339e-04j      -1.137964e-06-1.213339e-04j      
3.811754e-09-6.103510e-02j       4.268933e-09+6.103510e-02j       
4.319286e-09-2.544809e-02j       4.509903e-09+2.544809e-02j       
-8.421280e-09-1.181754e-02j      -8.332762e-09+1.181754e-02j      
7.076228e-10+1.585246e-03j       6.957488e-10-1.585246e-03j       
1.518351e-08+4.233699e-03j       1.515180e-08-4.233699e-03j       
-1.753157e-08-1.670127e-03j      -1.751906e-08+1.670127e-03j      
-9.428357e-09-1.069837e-03j      -9.420343e-09+1.069837e-03j      
3.864032e-08+1.220025e-03j       3.863118e-08-1.220025e-03j       
-1.770785e-08-3.394193e-04j      -1.770531e-08+3.394193e-04j      
-4.582750e-08-1.841064e-04j      -4.582612e-08+1.841064e-04j      
5.751143e-08+2.215717e-04j       5.750977e-08-2.215717e-04j       
2.734734e-08-1.066241e-04j       2.734814e-08+1.066241e-04j       
-8.621496e-08+3.446593e-05j      -8.621522e-08-3.446593e-05j      
5.020296e-09-1.745326e-05j       5.020426e-09+1.745326e-05j       
8.516000e-08+1.762507e-05j       8.515987e-08-1.762507e-05j       
-2.341138e-08-1.581352e-05j      -2.341126e-08+1.581352e-05j      
-5.316790e-08+1.146045e-05j      -5.316798e-08-1.146045e-05j      
1.924695e-08-7.667523e-06j       1.924701e-08+7.667523e-06j       
5.950207e-10+5.320833e-06j       5.949809e-10-5.320833e-06j       
-4.284516e-08-3.888888e-06j      -4.284513e-08+3.888888e-06j      
-4.842958e-08+2.862418e-06j      -4.842960e-08-2.862418e-06j      
-9.321854e-08-2.070972e-06j      -9.321853e-08+2.070972e-06j      
-2.020627e-07+1.482871e-06j      -2.020628e-07-1.482871e-06j      
-3.879264e-07-1.064401e-06j      -3.879264e-07+1.064401e-06j      
-7.688052e-07+7.688056e-07j      -7.688052e-07-7.688056e-07j      
-1.517015e-06-5.579794e-07j      -1.517015e-06+5.579794e-07j      
-2.995496e-06+4.093976e-07j      -2.995496e-06-4.093976e-07j      
-5.969608e-06-3.142637e-07j      -5.969608e-06+3.142637e-07j      
-1.120232e-05+2.749703e-07j      -1.120232e-05-2.749702e-07j      
-2.784480e-05-3.953060e-07j      -2.784480e-05+3.953062e-07j      
-1.010821e-02-2.970311e-09j      -1.010821e-02+3.046026e-09j      
-3.801947e-03+5.310684e-09j      -3.801947e-03-5.282206e-09j      
-2.966676e-03+3.482600e-11j      -2.966676e-03-1.260420e-11j      
-2.085334e-03-1.325313e-08j      -2.085334e-03+1.326875e-08j      
1.554706e-03+1.618619e-08j       1.554706e-03-1.619784e-08j       
1.069837e-03+9.420343e-09j       1.069837e-03-9.428357e-09j       
-1.493708e-03-4.140868e-08j      -1.493708e-03+4.141986e-08j      
3.239378e-04+2.082966e-08j       3.239378e-04-2.083208e-08j       
5.377852e-04+5.685572e-08j       5.377852e-04-5.685975e-08j       
-5.588909e-04-7.901910e-08j      -5.588909e-04+7.902328e-08j      
2.172018e-04-3.953665e-08j       2.172018e-04+3.953502e-08j       
3.463096e-05+1.438296e-07j       3.463096e-05-1.438299e-07j       
-1.037353e-04-1.036232e-08j      -1.037353e-04+1.036310e-08j      
8.097707e-05-1.869775e-07j       8.097707e-05+1.869769e-07j       
-4.820640e-05+5.471950e-08j      -4.820640e-05-5.471914e-08j      
3.004784e-05+1.914386e-07j       3.004784e-05-1.914388e-07j       
-2.187968e-05-3.242202e-08j      -2.187968e-05+3.242219e-08j      
1.673922e-05-1.241174e-07j       1.673922e-05+1.241173e-07j       
-1.235188e-05-4.790207e-08j      -1.235188e-05+4.790216e-08j      
8.807615e-06-1.310599e-07j       8.807615e-06+1.310599e-07j       
-6.259049e-06-3.263000e-07j      -6.259049e-06+3.263001e-07j      
4.501439e-06-6.038464e-07j       4.501439e-06+6.038463e-07j       
-3.260148e-06-1.180857e-06j      -3.260148e-06+1.180857e-06j      
2.358589e-06-2.358588e-06j       2.358589e-06+2.358588e-06j       
-1.704132e-06-4.642281e-06j      -1.704131e-06+4.642281e-06j      
